RT_ID	HOST	PATTERN	DISPOSITION	ACTUAL_OR_PHASE
RT-ACCOUNT-003	HOST-PUBLIC	/account/security	MISSING_BUILD	P09/P11
RT-ACCOUNT-004	HOST-PUBLIC	/account/verification	PRESENT_MIGRATE	/dashboard/{role}/verification
RT-ACCOUNT-005	HOST-PUBLIC	/account/notifications	PRESENT_MIGRATE	/dashboard/{role}/notifications
RT-ACCOUNT-006	HOST-PUBLIC	/account/privacy	MISSING_BUILD	P09/P11
RT-ACCOUNT-007	HOST-PUBLIC	/account/role-change	MISSING_BUILD	P09/P11
RT-ACCOUNT-008	HOST-PUBLIC	/account/subscription	PRESENT_MIGRATE	/dashboard/{role}/billing
RT-ACCOUNT-009	HOST-PUBLIC	/account/usage	MISSING_BUILD	P09/P11
RT-ACCOUNT-010	HOST-PUBLIC	/account/billing	PRESENT_MIGRATE	/dashboard/billing/gst + /dashboard/{role}/billing
RT-ACCOUNT-011	HOST-PUBLIC	/account/payments	MISSING_BUILD	P09/P11
RT-ACCOUNT-012	HOST-PUBLIC	/account/invoices	MISSING_BUILD	P09/P11
RT-ACCOUNT-013	HOST-PUBLIC	/account/invoices/[invoiceId]	MISSING_BUILD	P09/P11
RT-ACCOUNT-014	HOST-PUBLIC	/account/refunds	MISSING_BUILD	P09/P11
RT-ACCOUNT-015	HOST-PUBLIC	/account/refunds/[refundId]	MISSING_BUILD	P09/P11
RT-ACCOUNT-016	HOST-PUBLIC	/account/checkout/[quoteId]	MISSING_BUILD	P09/P11
RT-ACCOUNT-017	HOST-PUBLIC	/account/payment-result/[orderPublicId]	MISSING_BUILD	P09/P11
RT-ACCOUNT-018	HOST-PUBLIC	/account/data-export	MISSING_BUILD	P09/P11
RT-ACCOUNT-019	HOST-PUBLIC	/account/delete	MISSING_BUILD	P09/P11
RT-ACCOUNT-020	HOST-PUBLIC	/account/policy-acceptance	MISSING_BUILD	P09/P11
RT-OWNER-001	HOST-PUBLIC	/owner	PRESENT_MIGRATE	/dashboard/owner
RT-OWNER-002	HOST-PUBLIC	/owner/properties	PRESENT_MIGRATE	/dashboard/owner/properties
RT-OWNER-003	HOST-PUBLIC	/owner/properties/new	PRESENT_MIGRATE	/dashboard/owner/properties/new
RT-OWNER-004	HOST-PUBLIC	/owner/properties/[propertyId]	MISSING_BUILD	P06/P09
RT-OWNER-005	HOST-PUBLIC	/owner/properties/[propertyId]/edit	PRESENT_MIGRATE	/dashboard/owner/properties/[id]/edit
RT-OWNER-006	HOST-PUBLIC	/owner/properties/[propertyId]/preview	MISSING_BUILD	P06/P09
RT-OWNER-007	HOST-PUBLIC	/owner/properties/[propertyId]/leads	MISSING_BUILD	P06/P09
RT-OWNER-008	HOST-PUBLIC	/owner/leads	PRESENT_MIGRATE	/dashboard/owner/leads
RT-OWNER-009	HOST-PUBLIC	/owner/leads/[leadId]	PRESENT_MIGRATE	/dashboard/leads/[id]
RT-OWNER-010	HOST-PUBLIC	/owner/requirements	PRESENT_MIGRATE	/dashboard/owner/requirements
RT-OWNER-011	HOST-PUBLIC	/owner/requirements/new	PRESENT_MIGRATE	/dashboard/owner/requirements/new
RT-OWNER-012	HOST-PUBLIC	/owner/requirements/[requirementId]	MISSING_BUILD	P06/P09
RT-OWNER-013	HOST-PUBLIC	/owner/requirements/[requirementId]/edit	PRESENT_MIGRATE	/dashboard/owner/requirements/[id]/edit
RT-OWNER-014	HOST-PUBLIC	/owner/proposals	PRESENT_MIGRATE	/dashboard/owner/requirements/[id]/proposals (reshape)
RT-OWNER-015	HOST-PUBLIC	/owner/proposals/[proposalId]	MISSING_BUILD	P06/P09
RT-OWNER-016	HOST-PUBLIC	/owner/activity	MISSING_BUILD	P06/P09
RT-OWNER-017	HOST-PUBLIC	/owner/support	MISSING_BUILD	P06/P09
RT-BROKER-001	HOST-BROKER	/	PRESENT_MIGRATE	/dashboard/broker
RT-BROKER-002	HOST-BROKER	/listings	PRESENT_MIGRATE	/dashboard/broker/properties
RT-BROKER-003	HOST-BROKER	/listings/new	PRESENT_MIGRATE	/dashboard/broker/properties/new
RT-BROKER-004	HOST-BROKER	/listings/[propertyId]	MISSING_BUILD	P06/P09
RT-BROKER-005	HOST-BROKER	/listings/[propertyId]/edit	PRESENT_MIGRATE	/dashboard/broker/properties/[id]/edit
RT-BROKER-006	HOST-BROKER	/listings/[propertyId]/preview	MISSING_BUILD	P06/P09
RT-BROKER-007	HOST-BROKER	/listings/[propertyId]/leads	MISSING_BUILD	P06/P09
RT-BROKER-008	HOST-BROKER	/leads	PRESENT_MIGRATE	/dashboard/broker/leads
RT-BROKER-009	HOST-BROKER	/leads/[leadId]	PRESENT_MIGRATE	/dashboard/leads/[id]
RT-BROKER-010	HOST-BROKER	/requirements	PRESENT_MIGRATE	/dashboard/broker/requirements
RT-BROKER-011	HOST-BROKER	/requirements/mine	MISSING_BUILD	P06/P09
RT-BROKER-012	HOST-BROKER	/requirements/new	PRESENT_MIGRATE	/dashboard/broker/requirements/new
RT-BROKER-013	HOST-BROKER	/requirements/[requirementId]	MISSING_BUILD	P06/P09
RT-BROKER-014	HOST-BROKER	/requirements/[requirementId]/edit	PRESENT_MIGRATE	/dashboard/broker/requirements/[id]/edit
RT-BROKER-015	HOST-BROKER	/proposals	PRESENT_MIGRATE	/dashboard/broker/proposals
RT-BROKER-016	HOST-BROKER	/proposals/new	MISSING_BUILD	P06/P09
RT-BROKER-017	HOST-BROKER	/proposals/[proposalId]	MISSING_BUILD	P06/P09
RT-BROKER-018	HOST-BROKER	/agents	MISSING_BUILD	P06/P09
RT-BROKER-019	HOST-BROKER	/agents/invite	MISSING_BUILD	P06/P09
RT-BROKER-020	HOST-BROKER	/agents/[membershipId]	MISSING_BUILD	P06/P09
RT-BROKER-021	HOST-BROKER	/activity	MISSING_BUILD	P06/P09
RT-BROKER-022	HOST-BROKER	/profile	PRESENT_MIGRATE	/dashboard/broker/public-profile
RT-BROKER-023	HOST-BROKER	/settings	MISSING_BUILD	P06/P09
RT-BROKER-024	HOST-BROKER	/subscription	PRESENT_MIGRATE	/dashboard/broker/billing
RT-BROKER-025	HOST-BROKER	/support	MISSING_BUILD	P06/P09
RT-BUILDER-001	HOST-BUILDER	/	PRESENT_MIGRATE	/dashboard/builder
RT-BUILDER-002	HOST-BUILDER	/projects	PRESENT_MIGRATE	/dashboard/builder/projects
RT-BUILDER-003	HOST-BUILDER	/projects/new	PRESENT_MIGRATE	/dashboard/builder/projects/new
RT-BUILDER-004	HOST-BUILDER	/projects/[projectId]	MISSING_BUILD	P07/P09/P10
RT-BUILDER-005	HOST-BUILDER	/projects/[projectId]/edit	PRESENT_MIGRATE	/dashboard/builder/projects/[id]/edit
RT-BUILDER-006	HOST-BUILDER	/projects/[projectId]/preview	MISSING_BUILD	P07/P09/P10
RT-BUILDER-007	HOST-BUILDER	/projects/[projectId]/units	PRESENT_MIGRATE	/dashboard/builder/projects/[id]/units
RT-BUILDER-008	HOST-BUILDER	/projects/[projectId]/units/new	MISSING_BUILD	P07/P09/P10
RT-BUILDER-009	HOST-BUILDER	/projects/[projectId]/units/[unitId]	MISSING_BUILD	P07/P09/P10
RT-BUILDER-010	HOST-BUILDER	/projects/[projectId]/units/[unitId]/edit	MISSING_BUILD	P07/P09/P10
RT-BUILDER-011	HOST-BUILDER	/properties	MISSING_BUILD	P07/P09/P10
RT-BUILDER-012	HOST-BUILDER	/properties/new	MISSING_BUILD	P07/P09/P10
RT-BUILDER-013	HOST-BUILDER	/properties/[propertyId]	MISSING_BUILD	P07/P09/P10
RT-BUILDER-014	HOST-BUILDER	/properties/[propertyId]/edit	MISSING_BUILD	P07/P09/P10
RT-BUILDER-015	HOST-BUILDER	/leads	PRESENT_MIGRATE	/dashboard/builder/leads
RT-BUILDER-016	HOST-BUILDER	/leads/[leadId]	PRESENT_MIGRATE	/dashboard/leads/[id]
RT-BUILDER-017	HOST-BUILDER	/campaigns	REPLACE_TARGET	/dashboard/builder/ads (P10)
RT-BUILDER-018	HOST-BUILDER	/campaigns/new	MISSING_BUILD	P07/P09/P10
RT-BUILDER-019	HOST-BUILDER	/campaigns/[campaignId]	MISSING_BUILD	P07/P09/P10
RT-BUILDER-020	HOST-BUILDER	/campaigns/[campaignId]/edit	MISSING_BUILD	P07/P09/P10
RT-BUILDER-021	HOST-BUILDER	/activity	MISSING_BUILD	P07/P09/P10
RT-BUILDER-022	HOST-BUILDER	/profile	PRESENT_MIGRATE	/dashboard/builder/public-profile
RT-BUILDER-023	HOST-BUILDER	/settings	MISSING_BUILD	P07/P09/P10
RT-BUILDER-024	HOST-BUILDER	/subscription	PRESENT_MIGRATE	/dashboard/builder/billing
RT-BUILDER-025	HOST-BUILDER	/support	MISSING_BUILD	P07/P09/P10
RT-INT-001	HOST-INTERNAL	/	PRESENT_MIGRATE	/admin
RT-INT-002	HOST-INTERNAL	/search	MISSING_BUILD	P12
RT-INT-003	HOST-INTERNAL	/users	PRESENT_MIGRATE	/admin/users
RT-INT-004	HOST-INTERNAL	/users/[userId]	PRESENT_MIGRATE	/admin/users/[id]
RT-INT-005	HOST-INTERNAL	/workspaces	MISSING_BUILD	P12
RT-INT-006	HOST-INTERNAL	/workspaces/[workspaceId]	MISSING_BUILD	P12
RT-INT-007	HOST-INTERNAL	/moderation	PRESENT_MIGRATE	/admin/moderation
RT-INT-008	HOST-INTERNAL	/moderation/properties	PRESENT_MIGRATE	/admin/moderation/properties
RT-INT-009	HOST-INTERNAL	/moderation/properties/[caseId]	MISSING_BUILD	P12
RT-INT-010	HOST-INTERNAL	/moderation/projects	PRESENT_MIGRATE	/admin/moderation/projects
RT-INT-011	HOST-INTERNAL	/moderation/projects/[caseId]	MISSING_BUILD	P12
RT-INT-012	HOST-INTERNAL	/moderation/profiles	MISSING_BUILD	P12
RT-INT-013	HOST-INTERNAL	/moderation/profiles/[caseId]	MISSING_BUILD	P12
RT-INT-014	HOST-INTERNAL	/moderation/requirements	PRESENT_MIGRATE	/admin/moderation/requirements
RT-INT-015	HOST-INTERNAL	/moderation/requirements/[caseId]	MISSING_BUILD	P12
RT-INT-016	HOST-INTERNAL	/moderation/campaigns	MISSING_BUILD	P12
RT-INT-017	HOST-INTERNAL	/moderation/campaigns/[caseId]	MISSING_BUILD	P12
RT-INT-018	HOST-INTERNAL	/verification	PRESENT_MIGRATE	/admin/verification
RT-INT-019	HOST-INTERNAL	/verification/[caseId]	MISSING_BUILD	P12
RT-INT-020	HOST-INTERNAL	/reports	MISSING_BUILD	P12
RT-INT-021	HOST-INTERNAL	/reports/[caseId]	MISSING_BUILD	P12
RT-INT-022	HOST-INTERNAL	/support	PRESENT_MIGRATE	/admin/support
RT-INT-023	HOST-INTERNAL	/support/[ticketId]	MISSING_BUILD	P12
RT-INT-024	HOST-INTERNAL	/leads	PRESENT_MIGRATE	/admin/leads
RT-INT-025	HOST-INTERNAL	/leads/[leadId]	MISSING_BUILD	P12
RT-INT-026	HOST-INTERNAL	/finance	PRESENT_MIGRATE	/admin/billing (partial)
RT-INT-027	HOST-INTERNAL	/finance/subscriptions	MISSING_BUILD	P12
RT-INT-028	HOST-INTERNAL	/finance/subscriptions/[subscriptionId]	MISSING_BUILD	P12
RT-INT-029	HOST-INTERNAL	/finance/payments	MISSING_BUILD	P12
RT-INT-030	HOST-INTERNAL	/finance/payments/[paymentId]	MISSING_BUILD	P12
RT-INT-031	HOST-INTERNAL	/finance/invoices	MISSING_BUILD	P12
RT-INT-032	HOST-INTERNAL	/finance/invoices/[invoiceId]	MISSING_BUILD	P12
RT-INT-033	HOST-INTERNAL	/finance/refunds	MISSING_BUILD	P12
RT-INT-034	HOST-INTERNAL	/finance/refunds/[refundId]	MISSING_BUILD	P12
RT-INT-035	HOST-INTERNAL	/plans	MISSING_BUILD	P12
RT-INT-036	HOST-INTERNAL	/plans/[planVersionId]	MISSING_BUILD	P12
RT-INT-037	HOST-INTERNAL	/cms	PRESENT_MIGRATE	/admin/cms
RT-INT-038	HOST-INTERNAL	/cms/new	MISSING_BUILD	P12
RT-INT-039	HOST-INTERNAL	/cms/[entryId]	MISSING_BUILD	P12
RT-INT-040	HOST-INTERNAL	/seo	MISSING_BUILD	P12
RT-INT-041	HOST-INTERNAL	/seo/landings	MISSING_BUILD	P12
RT-INT-042	HOST-INTERNAL	/seo/redirects	MISSING_BUILD	P12
RT-INT-043	HOST-INTERNAL	/seo/sitemaps	MISSING_BUILD	P12
RT-INT-044	HOST-INTERNAL	/legal	MISSING_BUILD	P12
RT-INT-045	HOST-INTERNAL	/legal/[policyVersionId]	MISSING_BUILD	P12
RT-INT-046	HOST-INTERNAL	/announcements	MISSING_BUILD	P12
RT-INT-047	HOST-INTERNAL	/announcements/[announcementId]	MISSING_BUILD	P12
RT-INT-048	HOST-INTERNAL	/taxonomy	MISSING_BUILD	P12
RT-INT-049	HOST-INTERNAL	/locations	MISSING_BUILD	P12
RT-INT-050	HOST-INTERNAL	/system/providers	PRESENT_MIGRATE	/admin/providers
RT-INT-051	HOST-INTERNAL	/system/feature-flags	MISSING_BUILD	P12
RT-INT-052	HOST-INTERNAL	/system/maintenance	PRESENT_MIGRATE	/admin/settings (partial)
RT-INT-053	HOST-INTERNAL	/system/jobs	MISSING_BUILD	P12
RT-INT-054	HOST-INTERNAL	/system/usage	MISSING_BUILD	P12
RT-INT-055	HOST-INTERNAL	/incidents	MISSING_BUILD	P12
RT-INT-056	HOST-INTERNAL	/incidents/[incidentId]	MISSING_BUILD	P12
RT-INT-057	HOST-INTERNAL	/audit	PRESENT_MIGRATE	/admin/audit
RT-INT-058	HOST-INTERNAL	/security	MISSING_BUILD	P12
RT-INT-059	HOST-INTERNAL	/recovery/deleted	MISSING_BUILD	P12
RT-INT-060	HOST-INTERNAL	/recovery/deleted/[entityType]/[entityId]	MISSING_BUILD	P12
RT-INT-061	HOST-INTERNAL	/recovery/purge-jobs	MISSING_BUILD	P12
RT-INT-062	HOST-INTERNAL	/access	PRESENT_MIGRATE	/admin/staff + /admin/staff/invites + /admin/invite
RT-SYS-001	HOST-PUBLIC	/not-found	MISSING_BUILD	P04
RT-SYS-002	HOST-PUBLIC	/gone	MISSING_BUILD	P04
RT-SYS-003	HOST-PUBLIC	/forbidden	PRESENT_MIGRATE	/unauthorized (rename)
RT-SYS-004	HOST-PUBLIC	/restricted	MISSING_BUILD	P04
RT-SYS-005	HOST-PUBLIC	/maintenance	MISSING_BUILD	P04
RT-SYS-006	HOST-PUBLIC	/unavailable	MISSING_BUILD	P04
RT-SYS-007	HOST-PUBLIC	/rate-limited	MISSING_BUILD	P04
RT-SYS-008	HOST-PUBLIC	/error	MISSING_BUILD	P04
